"id","register_number","number_of_collection","local_name","type","collector_id","status","user_created","date_created","user_updated","date_updated","specific_type","date_of_collection","locality_or_location","latitude","longitude","altitude","habitat","field_note","determinated_by","date_determinated","uses_or_bioprospect","use_category","kingdom","phylum","classis","ordo","family","genus","species","featured_image.id","featured_image"
"2FEE2987-0AFF-447B-8171-C147EBC0EB15","BUNP-000087","TS 025","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.376Z",,,,,"Selabi Village, Sekadau Hilir, Sekadau District, West Kalimantan","IS","49 N 9127 5838","120 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nephentaceae","Nepenthes L.","Nephentes ampullaria Jack.",,
"F008CE34-E9BB-46F9-8C69-77272AC7CDEA","BUNP-000088","TS 025","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.386Z",,,,,"Selabi Village, Sekadau Hilir, Sekadau District, West Kalimantan","IS","49 N 9127 5838","100 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nephentes ampullaria Jack.",,
"FD47643F-2440-4115-B106-A343849912A0","BUNP-000089","TS 014","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.396Z",,,,,"Serambai Jaya Village, Mukok, Sanggau District, West Kalimantan","IS","49 N 8402 2917","100 asl","Shaded in Swamp Forests",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp.",,
"4BE7EB14-2E51-4C61-A490-0DE5C5E23775","BUNP-000090","TS 014","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.403Z",,,,,"Serambai Jaya Village, Mukok, Sanggau District, West Kalimantan","IS","49 N 8402 2917","100 asl","Shaded in Swamp Forests",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp.",,
"F128AF55-CB5F-46F2-90E2-CE843B602D67","BUNP-000091","TS 014","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.413Z",,,,,"Serambai Jaya Village, Mukok, Sanggau District, West Kalimantan","IS","49 N 8402 2917","100 asl","Shaded in Swamp Forests",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp. ",,
"AE63EA88-A08A-4D29-823C-EF0524743200","BUNP-000092","TS 014","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.420Z",,,,,"Serambai Jaya Village, Mukok, Sanggau District, West Kalimantan","IS","49 N 8402 2917","40 asl","Shaded in Swamp Forests",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp. ",,
"D8CF59BD-0BBC-4EA2-B04C-023EBD7FC461","BUNP-000093","TS 015","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.430Z",,,,,"Kedukul Village, Mukok, Sanggau District, West Kalimatan","IS","49 N 7423 1235","40 asl","Shaded in Swamp Forests",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp. ",,
"CEA78411-016A-41D8-944D-9D36E9B81799","BUNP-000094","TS 015","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.440Z",,,,,"Kedukul Village, Mukok, Sanggau District, West Kalimatan","IS","49 N 7423 1235","40 asl","Shaded in Swamp Forests",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp.",,
"16B5656D-FAFB-4AF2-9D05-DD4252BEA37C","BUNP-000095","TS 015","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.450Z",,,,,"Kedukul Village, Mukok, Sanggau District, West Kalimatan","IS","49 N 7423 1235","40 asl","Shaded in Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp.",,
"1FA706E7-549B-4D02-959E-05A78CB5118C","BUNP-000096","TS 015","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.456Z",,,,,"Kedukul Village, Mukok, Sanggau District, West Kalimatan","IS","49 N 7423 1235",,"Shaded in Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes L.","Nepenthes sp.",,
